file_name,prompt,answer,assessment_name,category,submitted_by,submitted_by_link
glass.png,Is the glass rim cracked? Answer only yes or no.,Yes,Glass rim crack,Defect Detection,Roboflow,https://roboflow.com
measurement.png,How wide is the sticker in inches? Return only a real number.,3.5,Measure a sticker,Object Measurement,Roboflow,https://roboflow.com
bottles.png,How many bottles are in the image? Answer only a number,27,Count bottles,Object Counting,Roboflow,https://roboflow.com
date_picker.png,What date is picked on the calendar? Answer like January 1 2020,November 21 2017,Date picker,Web Action Understanding,Roboflow,https://roboflow.com
receipt.png,How much tax was paid? Only answer like $1.00,$2.30,Read a receipt,Receipt Reading,Roboflow,https://roboflow.com
tire.png,What is the serial number on the tire? Answer only the serial number.,3702692432,Read a serial number,OCR,Roboflow,https://roboflow.com
ocr.png,Read the text in the image. Return only unformatted text.,"I was thinking earlier today that I have gone through, to use the lingo, eras of listening to each of Swift's Eras. Meta indeed. I started listening to Ms. Swift's music after hearing the Midnights album. A few weeks after hearing the album for the first time, I found myself playing various songs on repeat. I listened to the album in order multiple times.",Read a screenshot of prose,OCR,Roboflow,https://roboflow.com
floor_plan.png,What are the dimensions of the living area? Return in format 11'1 X 11'1.,"10'2"" X 16'",Read dimensions on a floor plan,Document Understanding,Roboflow,https://roboflow.com
solar_panels.png,How many rows of solar panels are in the image? Return only a number.,4,Count solar panels,Object Counting,Roboflow,https://roboflow.com
container_truck.png,Is the shipping container on a truck? Return only yes or no.,Yes,Object on top of another object,Spatial Relations,Roboflow,https://roboflow.com
overlapping.png,"How many screws are overlapping? Return only a number, like 1 or 2. ",4,Object overlapping,Spatial Relations,Roboflow,https://roboflow.com
shipping_manifest.png,What is the dock number? Return like AAA12.,D33,Shipping manifest reading,OCR,Roboflow,https://roboflow.com
bolts_or_screws.png,Does the container contain screws or bolts or nuts?,bolts,Object differentiation,Object Detection,Roboflow,https://roboflow.com
misplaced_bottles.png,"Are any bottles on the wrong shelf? If yes, say the name of the brand of the bottle on the wrong shelf like Coca-Cola.",Fiji,Bottle on wrong shelf,Spatial Relations,Roboflow,https://roboflow.com
warehouse.png,What colour are the bottles in the middle? Return only the colour name.,Red,Spatial relations,Spatial Relations,Roboflow,https://roboflow.com
empty_spaces.png,How many empty spaces are on the bottom shelf? Return only a number.,3,Object counting,Object Counting,Roboflow,https://roboflow.com
container_id_ocr.png,What is the horizontal ID on the container? Return only the ID.,JBHU282862,Shipping container OCR,OCR,Roboflow,https://roboflow.com
defect_relation.png,"Where is the defect in the product: top, left, bottom, right, or center? Return only the location, like left center.",top center,Defect localization,Localization,Roboflow,https://roboflow.com
aerial_count.png,How many shipping containers are in the image?,62,Count the shipping containers,Object Counting,Roboflow,https://roboflow.com
background.png,Is there a box in the background? Yes or no?,Yes,Background object identification,Spatial Relations,Roboflow,https://roboflow.com
left_or_right_construction.png,Is the dump truck to the left or right of the wheel loader? Answer only left or right.,left,Relation identification: left or right,Spatial Relations,Roboflow,https://roboflow.com
stack.png,Is the white box on top of or below the other box? Answer with either above or below.,above,Relation identification: top or bottom,Spatial Relations,Roboflow,https://roboflow.com
candy_bar.png,Is the candy bar hanging off the assembly line? Return only yes or no.,Yes,Item hanging off assembly line,Object Detection,Roboflow,https://roboflow.com
orientation.png,Is the item the right side up or upside down? Return only 'right side up' or 'upside down'.,upside down,Object orientation,Spatial Relations,Roboflow,https://roboflow.com
house.png,Does the house with the terracotta roof have a solar panel? Yes or no.,Yes,Solar panel detection and colour understanding,Object Understanding,Roboflow,https://roboflow.com
dents.png,How many dents are in the image? Return only the number.,1,Dent detection,Defect Detection,Roboflow,https://roboflow.com
no_defect.png,Does the juice box have a defect? Yes or no.,No,Defect detection (no defect present),Defect Detection,Roboflow,https://roboflow.com
warehouse_forklift.png,Is there a person next to the forklift? Yes or no.,Yes,Proximity to a forklift,Spatial Relations,Roboflow,https://roboflow.com
wood_crack.png,How many cracks are in the wood? Return a number.,1,Crack detection,Defect Detection,Roboflow,https://roboflow.com
steps.png,List the steps in the workflow as a comma-separated list.,"Inputs, Llama 3.2 Vision, Outputs",Digital workflow and process understanding,Object Understanding,Roboflow,https://roboflow.com
plastic_number.png,What plastic number is in the image? Return only the number with no leading 0s.,2,Recycling sign understanding,Sign Understanding,Roboflow,https://roboflow.com
pallet_stack.png,How many pallet are stacked?,13,Pallet stacking,Object Counting,Roboflow,https://roboflow.com
plant_sample.png,Does the leaf show signs of leaf rust? Return only yes or no.,Yes,Leaf rust,Defect Detection,Roboflow,https://roboflow.com
receipt_subtotal_tear.png,What is the subtotal of the receipt? Return only the amount like $1.00 and no other text.,$11.69,Torn receipt reading,Document Understanding,Roboflow,https://roboflow.com
table_understanding.png,What is the adjusted EBITDA in the nine months ended September 2023 (in millions)?,"2,428",Table understanding,Document Understanding,Roboflow,https://roboflow.com
robotic_arm_orientation.png,"Is the robotic arm grip pointing down, at a left angle, or at a right angle? Return down right or left.",down,Robotic arm grip orientation,Spatial Relations,Roboflow,https://roboflow.com
robotic_arm_orientation.png,Is there a person next to the robotic arm? Answer only yes or no.,Yes,Human proximity to robotic arm,Spatial Relations,Roboflow,https://roboflow.com
circuit_board.png,Read the number above the left transistor. Return only the number.,0101,Circuit board understanding,Object Understanding,Roboflow,https://roboflow.com
blurry_load_carriers.png,How many load carriers are in the image? Return only a number.,3,Object counting with a blurry image,Object Counting,Roboflow,https://roboflow.com
screenshot_web_catalog.png,"What is the package quantity of 90183A308? Return only a number. If SKU does not exist, return NULL.",50,(WIP) Table understanding from a web catalog,Document Understanding,Roboflow,https://roboflow.com
screenshot_web_catalog.png,"What is the package quantity of 90183A308? Return only a number. If SKU does not exist, return NULL.",NULL,Table understanding from a web catalog (SKU does not exist),Document Understanding,Roboflow,https://roboflow.com
