model_name,description
OpenAI O4 Mini,"OpenAI O4 Mini is a multimodal reasoning model developed by OpenAI."
GPT-4.1,"GPT-4.1 is OpenAI's 'Flagship GPT model for complex tasks'."
ChatGPT-4o,"GPT-4o is a model used in ChatGPT."
GPT-4.1 Mini,"GPT-4.1 Mini is a 'fast, affordable small model for focused tasks'."
GPT-4.1 Nano,"GPT-4.1 Nano is the 'Fastest, most cost-effective GPT-4.1 model'."
Gemini 3 Flash,"Gemini 3 Flash is a high-speed, high-value thinking model designed for agentic workflows."
Gemini 3 Flash (Tools),"Gemini 3 Flash with code execution enabled."
Gemini 3.1 Pro,"Gemini 3.1 Pro is a high-performance multimodal model from Google."
Gemini 3.1 Pro (Tools),"Gemini 3.1 Pro with code execution enabled."
Qwen 3.5 122B,"Qwen 3.5 122B developed by Alibaba Cloud"
Qwen 3.5 35B,"Qwen 3.5 35B developed by Alibaba Cloud"
Qwen 3.5 27B,"Qwen 3.5 27B developed by Alibaba Cloud"
